tracking_number,shipment_date,estimated_delivery,actual_delivery,origin_city,destination_city,weight_kg,pieces,status,customer_email,driver_employee_id,route_code,carrier_tracking_number,delivery_notes
FF-100077,2023-01-08,2023-01-09,,Irvine,Fontana,60.36,40,IN_TRANSIT,mezajared@example.org,EMP-030,RT-027,,Produce church community avoid able late order fact discuss.
FF-100078,08/22/2022,08/25/2022,08/24/2022,Los Angeles,Irvine,29.09,33,DELIVERED,jacqueline71@example.net,EMP-041,RT-004,,Under skin person product value interesting name positive.
FF-100079,05/23/2022,05/27/2022,,Ontario,San Bernardino,9.85,44,IN_TRANSIT,margaret10@example.org,EMP-037,RT-021,,
FF-100080,2024-09-18,2024-09-19,,Los Angeles,Anaheim,19.82,5,IN_TRANSIT,brooke94@example.com,EMP-020,RT-015,,Light fight I evening music just.
FF-100081,2025-11-02,2025-11-03,,Fontana,Corona,56.44,21,IN_TRANSIT,prestonjessica@example.net,EMP-039,RT-016,,
FF-100082,2022-10-15,10/19/2022,,Ontario,Riverside,8.57,34,CANCELLED,anthony39@example.net,EMP-034,RT-020,CTN500346767,
FF-100083,2023-04-01,2023-04-02,,Anaheim,San Bernardino,18.61,43,OUT_FOR_DELIVERY,keyemily@example.com,EMP-039,RT-028,CTN187512088,American series like prepare trouble consider one.
FF-100084,2024-07-13,2024-07-17,07/20/2024,San Bernardino,Anaheim,54.51,9,DELIVERED,ecosta@example.com,EMP-043,RT-023,,
FF-100085,2025-09-11,2025-09-15,,Long Beach,Irvine,59.16,19,PICKED_UP,qcook@example.org,EMP-007,RT-017,,
FF-100086,2022-04-23,2022-04-25,2022-04-25,Irvine,Ontario,33.11,47,DELIVERED,marksteele@example.com,EMP-029,RT-002,,
FF-100087,06/18/2023,2023-06-23,,Fontana,Long Beach,15.03,25,CANCELLED,jcervantes@example.org,EMP-033,RT-017,,Because education break significant ten stay ability thank.
FF-100088,2025-05-21,2025-05-26,2025-05-28,Pomona,San Bernardino,40.21,6,DELIVERED,mgutierrez@example.net,EMP-049,RT-006,CTN651208305,Performance material kind appear environment capital explain thing machine ahead.
FF-100089,2023-07-25,2023-07-26,,Anaheim,Long Beach,322.2,46,IN_TRANSIT,jennifercollins@example.org,EMP-042,RT-011,,Impact different success box water positive child usually factor relate.
FF-100090,11/04/2021,2021-11-05,,Corona,Riverside,49.76,10,IN_TRANSIT,edavenport@example.org,EMP-036,RT-024,,Necessary himself two meet these tell everybody so increase.
FF-100091,2026-02-02,02/06/2026,,San Bernardino,Ontario,109.64,16,OUT_FOR_DELIVERY,lori44@example.net,EMP-046,RT-005,CTN101679695,
FF-100092,2024-06-13,2024-06-18,2024-06-16,San Bernardino,Corona,37.49,25,DELIVERED,cgrimesexample.net,EMP-031,RT-002,,
FF-100093,2021-08-24,2021-08-27,,Anaheim,Ontario,42.14,50,OUT_FOR_DELIVERY,jreed@example.net,EMP-044,RT-015,,Lay focus country recently occur do.
FF-100094,05/14/2026,2026-05-15,,Riverside,Los Angeles,18.7,20,IN_TRANSIT,vwilliams@example.com,EMP-033,RT-013,,History professional star wonder manager already maybe opportunity.
FF-100095,2022-02-04,2022-02-07,,Anaheim,Los Angeles,13.86,25,IN_TRANSIT,sawyerscott@example.net,EMP-022,RT-006,,Address century that wide avoid sit enter perhaps however bag forget purpose move west.
FF-100096,2023-01-17,01/20/2023,,Ontario,Corona,62.34,21,PENDING,cbrennan@example.net,EMP-043,RT-010,,
FF-100097,2022-12-09,2022-12-10,,Anaheim,Fontana,17.87,48,PENDING,younggabrielle@example.com,EMP-044,RT-006,,Section its better plant their kitchen really tough animal.
FF-100098,10/16/2024,2024-10-18,2024-10-21,Corona,Riverside,16.08,24,DELIVERED,carternicholas@example.org,EMP-029,RT-025,CTN247848992,Most not society color bad that people drive tree.
FF-100099,2025-09-29,2025-10-02,2025-10-03,San Bernardino,Anaheim,75.18,32,DELIVERED,jesselittle@example.com,EMP-013,RT-004,CTN179512774,Project together let explain national available war write federal while.
FF-100100,2026-03-04,2026-03-06,03/06/2026,Los Angeles,Anaheim,32.5,24,DELIVERED,stephen43@example.com,EMP-033,RT-008,CTN315801027,
FF-100101,2023-02-18,2023-02-22,,San Bernardino,Ontario,26.12,50,CANCELLED,yrodriguez@example.net,EMP-027,RT-027,,Offer yeah far within probably ever not rate seat.
FF-100102,2025-09-14,2025-09-16,,Pomona,Ontario,9.99,4,IN_TRANSIT,lozanojulie@example.com,EMP-008,RT-017,CTN276799196,Parent good PM per question return.
FF-100103,02/06/2022,02/09/2022,2022-02-08,Pomona,Los Angeles,18.04,38,DELIVERED,courtneyberger@example.net,EMP-010,RT-006,,
FF-100104,2025-01-18,01/20/2025,01/24/2025,Corona,Los Angeles,32.79,40,DELIVERED,parkerscott@example.net,EMP-041,RT-001,,
FF-100105,2023-11-12,2023-11-16,,Riverside,Long Beach,48.87,21,IN_TRANSIT,jessica14@example.com,EMP-046,RT-011,,
FF-100106,2022-11-24,2022-11-28,,Fontana,San Bernardino,122.67,7,PICKED_UP,ithompson@example.net,EMP-004,RT-010,,
FF-100107,09/04/2025,2025-09-06,,Anaheim,Long Beach,10.28,20,IN_TRANSIT,alyssa42@example.com,EMP-032,RT-001,CTN522240582,Whose far that sound life away senior difficult.
FF-100108,05/29/2024,2024-05-30,2024-06-03,Fontana,Los Angeles,29.71,9,DELIVERED,zcoffey@example.net,EMP-017,RT-024,,Bed house enough buy.
FF-100109,2022-02-13,2022-02-14,,Los Angeles,San Bernardino,42.66,24,IN_TRANSIT,emily49@example.com,EMP-049,RT-005,CTN646666136,Board doctor agent this.
FF-100110,2022-03-08,2022-03-11,,Corona,Pomona,13.82,21,DELAYED,rose31@example.net,EMP-011,RT-013,,
FF-100111,12/21/2025,2025-12-22,,Los Angeles,Pomona,9.14,38,IN_TRANSIT,tblankenship@example.net,EMP-020,RT-026,,
FF-100112,06/11/2025,2025-06-12,,Corona,Long Beach,2.77,11,OUT_FOR_DELIVERY,cwilson@example.org,EMP-034,RT-021,,
FF-100113,11/15/2023,11/18/2023,,Long Beach,Riverside,18.6,33,IN_TRANSIT,wendy11@example.org,EMP-050,RT-020,,
FF-100114,2023-07-06,07/09/2023,,Fontana,Corona,47.05,30,DELAYED,paulwatson@example.net,EMP-035,RT-011,,
FF-100115,2024-07-11,07/14/2024,,Long Beach,Anaheim,75.82,19,PICKED_UP,umatthews@example.org,EMP-046,RT-007,,Pressure street past voice evidence real describe know door guy wonder happen.
FF-100116,08/12/2023,2023-08-15,,Pomona,Irvine,28.72,10,DELAYED,bruce43@example.org,EMP-019,RT-002,CTN866803374,Begin deep police wife anything four writer skin day stop never only.
FF-100117,03/03/2022,2022-03-04,2022-02-22,Pomona,Los Angeles,35.54,34,DELIVERED,markhernandez@example.net,EMP-015,RT-021,CTN207586738,Everyone worker would music sometimes body.
FF-100118,01/17/2025,2025-01-19,01/21/2025,Fontana,Pomona,146.5,21,DELIVERED,andersonmichael@example.org,EMP-019,RT-021,CTN925412179,Food company appear score moment second live sing message.
FF-100119,2025-10-25,2025-10-29,,Riverside,Fontana,32.7,19,PICKED_UP,hayesjeffrey@example.net,EMP-003,RT-001,CTN747233283,Road training probably feeling poor.
FF-100120,2022-12-05,12/07/2022,,Pomona,Fontana,4.35,11,DELIVERED,browntimothy@example.com,EMP-047,RT-015,,
FF-100121,2024-04-15,2024-04-18,,Irvine,Fontana,24.27,9,PENDING,fparks@example.net,EMP-031,RT-011,,Available ball part assume every plan nature foot yes most law.
FF-100122,2025-01-23,2025-01-26,2025-01-24,Riverside,Anaheim,18.94,43,DELIVERED,sgarcia@example.org,EMP-008,RT-015,,Result Democrat later direction fund law indeed believe interview professor hear check type attack story.
FF-100123,2022-02-23,2022-02-27,,Long Beach,Los Angeles,32.48,27,PICKED_UP,reynoldsjulie@example.com,EMP-045,RT-018,,
FF-100124,2023-11-26,2023-12-01,2023-11-30,San Bernardino,Corona,8.46,37,DELIVERED,angelawillis@example.net,EMP-008,RT-002,,
FF-100125,2024-04-05,04/09/2024,2024-04-14,Fontana,San Bernardino,66.69,37,DELIVERED,elizabeth65@example.net,EMP-004,RT-018,,
FF-100126,2021-09-26,2021-09-27,,San Bernardino,Corona,71.09,31,CANCELLED,uparrish@example.org,EMP-003,RT-010,,
FF-100127,2026-04-10,2026-04-14,,Irvine,Pomona,18.1,35,IN_TRANSIT,caroline51@example.net,EMP-009,RT-021,,Defense prevent difference board suddenly happen several off southern suddenly window stand party poor.
FF-100128,03/05/2025,2025-03-10,,Los Angeles,Pomona,8.65,25,IN_TRANSIT,lynchdiane@example.net,EMP-015,RT-008,,Ahead event several TV go consider.
FF-100129,2022-07-22,07/23/2022,,Riverside,Los Angeles,123.93,46,PENDING,ashleymorales@example.org,EMP-004,RT-008,,Begin most heavy law.
FF-100130,2024-08-20,2024-08-25,2024-08-28,Long Beach,Irvine,43.93,16,DELIVERED,mitchellgriffith@example.net,EMP-020,RT-029,CTN808897689,Be apply church pay purpose evening product magazine kind event sense box involve.
FF-100131,2023-05-01,2023-05-05,2023-05-08,Fontana,Riverside,23.59,20,DELIVERED,erika97@example.net,EMP-025,RT-006,,Animal house out account feeling deep.
FF-100132,10/05/2022,2022-10-08,,Ontario,Fontana,12.6,42,PICKED_UP,kathrynroberts@example.org,EMP-006,RT-030,,Market issue can mouth discover next property.
FF-100133,2025-11-28,12/03/2025,2025-12-04,San Bernardino,Los Angeles,4.48,22,DELIVERED,charles06@example.org,EMP-020,RT-030,CTN304036387,
FF-100134,2025-09-30,2025-10-03,,Pomona,Anaheim,42.97,35,IN_TRANSIT,umorse@example.net,EMP-042,RT-012,,Of remember individual boy again foot soon peace story turn because such.
FF-100135,02/25/2023,2023-03-01,,Long Beach,Irvine,97.54,2,PENDING,ryanmorales@example.org,EMP-017,RT-018,,That second develop single baby plan most create simply go when.
FF-100136,2022-11-04,11/08/2022,,Pomona,Anaheim,9.59,42,DELAYED,joelthomas@example.org,EMP-048,RT-016,,
FF-100137,08/03/2021,2021-08-04,,Riverside,Corona,14.36,27,DELAYED,carriewolf@example.net   ,EMP-009,RT-027,,Concern significant management senior.
FF-100138,2021-06-27,2021-06-28,,Fontana,Pomona,7.53,27,OUT_FOR_DELIVERY,kmaldonado@example.net   ,EMP-001,RT-001,,Follow wife firm key light place someone option goal avoid left.
FF-100139,2022-03-26,2022-03-28,,San Bernardino,Corona,5.41,18,PICKED_UP,brownmarie@example.org,EMP-026,RT-003,,Past medical leg never.
FF-100140,2023-09-03,2023-09-07,,Riverside,Ontario,24.43,31,IN_TRANSIT,colelisa@example.net,EMP-004,RT-021,CTN284021712,Focus little character artist billion tonight gas research.
FF-100141,2022-08-01,2022-08-06,,Riverside,Los Angeles,48.25,18,IN_TRANSIT,benjaminzimmermanexample.com,EMP-035,RT-019,,Mission city health executive impact full our smile positive at behind.
FF-100142,04/23/2022,2022-04-28,,San Bernardino,Anaheim,37.09,25,PICKED_UP,umitchell@example.net,EMP-044,RT-029,,Their four old center glass whose recognize hot.
FF-100143,2022-09-13,2022-09-14,,San Bernardino,Fontana,44.55,26,IN_TRANSIT,collinsnicholas@example.com,EMP-050,RT-011,CTN393482659,
FF-100144,11/17/2021,11/22/2021,,Corona,Irvine,2.8,16,IN_TRANSIT,elizabethcalderon@example.net,EMP-046,RT-003,CTN265593497,Behavior provide meet adult final week game.
FF-100145,2021-12-21,2021-12-23,,Anaheim,Los Angeles,10.4,33,PENDING,ilee@example.org,EMP-027,RT-004,CTN480012570,Fast small medical music school money.
FF-100146,08/09/2024,2024-08-14,,Pomona,Long Beach,56.61,25,PICKED_UP,nancy92@example.net,EMP-011,RT-005,CTN388199600,Child Congress realize person total.
FF-100147,2024-09-23,2024-09-28,,Long Beach,Pomona,64.53,26,PICKED_UP,xwilliams@example.net,EMP-022,RT-027,,
FF-100148,2023-03-13,2023-03-18,,Ontario,Anaheim,56.31,13,DELAYED,tarabishop@example.net,EMP-031,RT-011,CTN527606494,
FF-100149,2025-12-23,2025-12-27,,Irvine,Los Angeles,60.81,35,IN_TRANSIT,pyoung@example.com,EMP-012,RT-022,,Tough create question now key show sing me industry class current painting their.
FF-100150,2022-03-07,2022-03-10,,Irvine,Pomona,25.12,43,PICKED_UP,davidsonmorgan@example.net,EMP-010,RT-023,,Represent middle by base civil last message store.
FF-100151,08/09/2021,08/12/2021,2021-08-11,Irvine,Corona,59.38,43,DELIVERED,pottsjeffrey@example.com,EMP-023,RT-006,,Us increase how hear history bank different five between research.
FF-100152,2023-11-24,11/27/2023,,Pomona,Long Beach,53.47,50,IN_TRANSIT,lacey20@example.com,EMP-044,RT-019,,Receive catch relationship large.
FF-100153,02/23/2023,2023-02-26,,Ontario,Irvine,45.04,31,IN_TRANSIT,bullockandrew@example.org,EMP-007,RT-015,,Nature road month.
FF-100154,2024-04-16,2024-04-18,,Ontario,Los Angeles,100.14,22,OUT_FOR_DELIVERY,parsonsjohn@example.org,EMP-036,RT-014,,Draw police performance artist student matter.
FF-100155,2024-09-19,09/23/2024,,Long Beach,Pomona,27.37,49,IN_TRANSIT,chenbailey@example.net,EMP-046,RT-026,,Fact ability good number cost property model guess well.
FF-100156,09/29/2024,10/03/2024,2024-10-02,Pomona,Anaheim,17.26,23,DELIVERED,myerstheodore@example.net,EMP-023,RT-028,,Wonder effect administration small general run pick sign.
FF-100157,2023-07-30,08/03/2023,,Ontario,Corona,13.0,32,OUT_FOR_DELIVERY,dennis58@example.com,EMP-041,RT-018,,
FF-100158,2026-04-02,2026-04-05,,Fontana,Riverside,20.59,32,DELAYED,mariacohen@example.net,EMP-009,RT-007,,
FF-100159,11/11/2021,2021-11-16,,Fontana,Ontario,35.08,18,PENDING,zwelch@example.org,EMP-015,RT-018,CTN938313402,Respond want already cut social though firm.
FF-100160,2026-01-04,2026-01-05,2025-12-30,Anaheim,Corona,14.45,35,DELIVERED,zachary87@example.com,EMP-014,RT-014,CTN991281644,
FF-100161,2025-12-11,2025-12-16,2025-12-20,Long Beach,Los Angeles,43.63,14,DELIVERED,mullinsjames@example.com,EMP-014,RT-026,CTN476685251,Tend forward buy happy threat sea thus.
FF-100162,2025-08-09,2025-08-13,,San Bernardino,Long Beach,53.15,18,DELAYED,lmorgan@example.com,EMP-042,RT-005,,Happen something entire bar interesting issue yet.
FF-100163,2024-12-01,2024-12-05,,Corona,Los Angeles,161.2,50,IN_TRANSIT,amymorris@example.org,EMP-006,RT-013,,Produce fill owner international ready goal amount thank good.
FF-100164,2024-12-16,2024-12-19,12/23/2024,San Bernardino,Pomona,74.66,14,DELIVERED,yhill@example.org,EMP-028,RT-027,CTN388339233,Provide image message seek civil.
FF-100165,2021-06-28,06/29/2021,,San Bernardino,Pomona,60.55,28,DELAYED,thomascathy@example.com,EMP-013,RT-023,,
FF-100166,02/14/2025,2025-02-16,,San Bernardino,Irvine,-8.67,41,PENDING,martinezjoel@example.net,EMP-020,RT-024,,Gun we allow check last.
FF-100167,2026-03-22,03/26/2026,2026-03-31,Anaheim,San Bernardino,80.41,47,DELIVERED,nathan19@example.org,EMP-007,RT-004,,
FF-100168,2023-11-13,2023-11-16,11/16/2023,Riverside,Long Beach,50.56,27,DELIVERED,raymond43@example.org,EMP-040,RT-022,,Save material hit.
